Crop,Nitrogen (N),Phosphorus (P),Potassium (K),pH,Rainfall (mm),Temperature (°C),Humidity (%),Yield (t/ha)
Dhaan,179.85,54.27,34.86,6.65,1709.11,25.88,81.74,3.25
Dhaan,66.41,68.82,77.18,5.43,2178.17,27.92,76.44,3.87
Dhaan,138.73,76.8,58.61,7.15,2595.98,22.57,84.89,3.92
Dhaan,122.63,80.88,107.42,6.26,2091.59,22.48,80.05,2.61
Dhaan,97.4,65.83,35.44,6.38,2146.71,27.94,84.45,3.81
Dhaan,159.33,80.15,58.0,5.77,2446.87,30.45,87.04,3.44
Dhaan,45.03,24.79,83.12,8.18,2493.69,31.87,87.45,4.08
Dhaan,162.16,51.06,89.4,8.11,1981.15,23.28,82.67,3.49
Dhaan,92.48,30.19,73.12,6.76,1282.78,32.35,75.87,3.56
Dhaan,73.72,83.9,34.31,6.34,1342.14,33.32,82.39,3.29
Dhaan,152.65,83.08,87.76,5.13,1657.16,25.32,70.19,3.2
Dhaan,75.01,79.17,39.92,6.04,2257.63,30.31,78.49,3.62
Dhaan,120.47,89.49,49.52,8.41,2069.77,25.08,81.44,3.35
Dhaan,46.87,62.45,69.67,8.12,2218.67,30.92,84.89,3.26
Dhaan,89.32,64.56,82.09,7.21,1715.15,32.39,82.14,3.41
Dhaan,130.49,41.63,64.08,6.82,2709.01,30.17,88.07,3.0
Dhaan,144.65,32.29,33.22,6.66,2518.25,23.17,75.9,3.92
Dhaan,155.46,53.73,100.65,7.49,2844.28,32.8,75.14,3.42
Dhaan,59.71,87.66,106.01,7.4,1809.69,23.5,89.26,4.41
Dhaan,41.95,57.56,65.48,7.19,2648.26,26.76,85.81,3.38
Dhaan,171.64,27.58,43.38,4.6,2410.21,29.6,86.45,3.84
Dhaan,155.34,83.66,50.22,6.13,2847.46,24.88,71.26,3.2
Dhaan,108.97,26.8,108.73,5.04,1451.6,34.3,76.09,3.0
Dhaan,143.92,30.82,61.49,4.9,2537.65,34.3,78.38,3.65
Dhaan,44.58,45.94,64.34,8.3,2080.82,27.31,89.03,3.6
Dhaan,90.21,47.87,38.98,4.99,2434.22,29.08,89.56,3.37
Dhaan,129.84,61.8,22.14,7.65,2726.46,27.91,83.26,3.51
Dhaan,69.0,35.12,106.97,5.81,2216.24,22.89,85.3,3.68
Dhaan,160.18,30.13,33.0,5.5,1465.6,33.71,70.06,3.74
Dhaan,73.31,42.66,37.42,4.71,1246.4,22.19,85.8,3.96
Dhaan,106.67,74.46,71.32,4.94,2535.09,28.84,84.91,2.66
Dhaan,113.0,52.06,116.4,4.74,1278.06,32.18,87.34,3.48
Dhaan,108.64,83.68,27.35,4.82,2062.17,27.22,83.72,3.4
Dhaan,85.53,89.62,73.06,6.31,1695.03,30.23,80.97,3.42
Dhaan,159.39,65.56,96.9,7.38,2289.77,23.29,84.04,3.58
Dhaan,98.24,26.66,62.68,7.16,1611.29,26.41,79.07,3.87
Dhaan,49.4,78.22,29.32,4.89,1873.74,23.98,88.46,3.46
Dhaan,86.15,28.56,55.36,7.16,2201.47,29.62,81.23,2.86
Dhaan,175.58,62.03,55.16,6.81,2550.51,33.29,84.42,3.62
Dhaan,91.46,73.38,77.41,7.73,1603.64,23.41,86.91,4.0
Dhaan,125.9,64.99,22.63,8.22,2721.28,34.67,86.37,3.63
Dhaan,87.58,20.43,106.99,6.77,1524.75,31.14,76.18,3.26
Dhaan,44.29,72.23,41.51,6.18,1921.41,23.84,82.66,3.32
Dhaan,51.89,23.68,35.74,6.97,2498.87,32.1,81.35,3.78
Dhaan,107.99,50.94,47.32,7.52,2413.14,25.54,83.24,3.78
Dhaan,133.4,23.18,59.53,6.9,1709.84,30.82,79.73,3.74
Dhaan,59.21,37.89,52.81,4.53,1213.84,25.92,74.22,3.5
Dhaan,156.67,76.43,27.21,7.95,1884.37,31.15,80.01,3.28
Dhaan,160.7,60.3,77.34,7.34,1276.14,22.24,88.42,3.35
Dhaan,126.54,78.24,111.98,4.85,1237.54,26.22,86.03,3.59
Dhaan,113.35,47.7,51.03,5.86,2720.07,25.16,81.78,3.39
Dhaan,166.83,44.46,92.74,7.78,2118.87,23.48,80.2,3.68
Dhaan,67.62,62.17,96.02,7.12,2667.07,25.07,72.93,3.77
Dhaan,102.85,84.69,76.45,7.04,2089.41,31.81,85.2,4.04
Dhaan,61.13,24.78,64.22,5.71,2324.14,33.24,82.54,3.48
Dhaan,47.96,78.22,27.67,7.96,2113.21,26.04,79.04,3.62
Dhaan,104.78,58.8,99.18,8.08,2739.53,30.0,80.14,2.89
Dhaan,61.12,24.33,30.35,8.1,2373.31,26.18,79.51,3.7
Dhaan,64.16,37.34,63.78,6.26,1818.19,31.29,80.09,3.3
Dhaan,87.37,61.85,98.92,7.09,1871.13,25.68,78.18,3.47
Dhaan,79.78,70.66,85.66,8.13,1318.64,23.23,83.57,3.72
Dhaan,175.48,68.89,59.2,6.88,2248.93,23.84,77.0,3.27
Dhaan,150.83,76.92,87.01,7.82,2888.4,26.02,77.53,3.46
Dhaan,90.66,45.38,38.03,5.36,2147.51,30.4,78.47,2.97
Dhaan,59.26,25.4,104.44,4.9,2905.8,28.32,74.53,3.59
Dhaan,147.28,29.17,57.67,5.15,2790.63,22.49,76.74,2.84
Dhaan,63.18,50.64,61.09,7.21,2696.42,32.02,86.18,3.53
Dhaan,114.76,41.66,100.86,6.38,1712.87,31.73,78.98,3.88
Dhaan,177.82,52.32,48.18,6.03,2703.2,26.78,88.94,2.6
Dhaan,75.0,64.88,107.41,6.72,2670.4,32.42,72.77,3.34
Dhaan,79.91,73.42,47.28,8.12,1384.66,33.0,87.02,3.73
Dhaan,88.94,21.87,25.33,6.51,2903.54,24.89,79.02,3.8
Dhaan,43.95,85.16,103.92,7.1,1624.4,34.93,77.5,3.55
Dhaan,59.43,69.39,64.86,4.52,1716.38,32.79,83.92,3.32
Dhaan,116.83,70.91,72.78,4.94,1342.61,25.33,86.7,3.43
Dhaan,104.0,27.76,110.51,6.89,1285.95,27.46,85.88,3.79
Dhaan,60.1,50.05,81.48,5.46,1229.58,28.7,74.84,3.05
Dhaan,113.65,55.51,118.83,6.72,1354.11,34.67,71.35,3.76
Dhaan,177.35,37.76,21.62,7.65,1902.82,28.11,82.71,3.18
Dhaan,86.55,23.1,74.6,7.75,2330.86,32.03,84.7,3.97
Dhaan,137.35,64.22,101.15,4.75,1515.16,32.13,79.29,3.56
Dhaan,45.87,85.34,71.54,8.46,1728.2,22.57,73.99,3.12
Dhaan,66.75,44.99,98.08,7.96,2177.46,25.29,85.07,3.41
Dhaan,165.25,47.07,117.37,6.48,1862.43,33.56,84.87,3.66
Dhaan,152.16,70.9,27.89,6.91,2095.54,34.02,80.39,3.69
Dhaan,82.91,62.18,62.61,7.26,1778.18,23.04,83.22,3.11
Dhaan,89.36,89.87,47.46,8.42,1832.78,22.55,87.4,3.63
Dhaan,135.12,86.7,34.28,6.93,2347.52,26.72,86.02,3.46
Dhaan,148.99,45.64,58.29,6.77,2606.36,22.45,71.34,3.08
Dhaan,120.35,57.06,59.8,7.1,2907.88,26.84,85.26,3.18
Dhaan,109.87,47.09,76.17,5.55,1649.3,23.47,84.71,3.48
Dhaan,108.77,28.58,105.28,6.31,2993.46,25.71,88.33,3.88
Dhaan,135.47,79.19,51.96,5.89,2817.62,27.79,71.76,3.9
Dhaan,169.83,64.64,99.37,6.54,2804.4,33.07,84.24,3.67
Dhaan,150.65,21.84,75.4,5.98,1418.45,24.61,72.78,3.65
Dhaan,179.94,70.32,72.57,7.58,2301.51,23.12,76.19,3.08
Dhaan,129.93,51.5,88.01,5.88,2682.01,22.96,89.45,3.94
Dhaan,100.57,83.75,25.54,5.0,2351.63,24.37,89.33,3.08
Dhaan,139.31,44.22,114.09,8.08,1475.43,24.14,76.45,3.65
Dhaan,82.4,57.34,70.26,5.17,2343.1,29.16,72.5,3.28
Dhaan,140.89,62.36,104.25,6.75,2894.89,24.0,83.17,3.54
Dhaan,131.16,73.69,61.66,7.06,1281.83,30.34,81.54,3.43
Dhaan,173.93,53.81,100.47,7.24,2096.47,30.15,75.79,3.46
Dhaan,68.56,62.47,51.26,7.37,1307.84,27.71,79.69,3.63
Dhaan,58.31,45.94,76.17,5.78,2521.56,33.19,89.51,3.23
Dhaan,93.78,63.08,44.83,7.96,1646.25,23.26,75.8,3.56
Dhaan,83.78,73.42,69.83,6.56,1487.46,26.26,81.55,3.2
Dhaan,175.34,35.06,55.29,4.7,1241.72,34.29,80.11,3.5
Dhaan,105.88,57.57,104.72,6.22,2090.81,33.47,83.09,3.92
Dhaan,119.84,33.63,75.32,4.79,2574.94,26.76,78.01,3.12
Dhaan,178.47,67.63,31.88,8.4,2107.66,31.94,75.59,3.01
Dhaan,67.87,55.64,70.01,4.68,1810.35,34.21,85.1,3.89
Dhaan,103.98,62.44,71.55,5.81,1446.67,26.33,79.47,3.34
Dhaan,87.09,77.98,73.23,7.33,2983.11,31.61,75.98,3.36
Dhaan,134.33,88.59,78.37,7.69,1739.62,32.6,77.37,3.42
Dhaan,149.61,74.33,77.76,7.39,1247.96,28.17,89.34,2.97
Dhaan,126.76,78.88,34.78,7.22,2250.34,24.22,82.58,4.33
Dhaan,61.2,68.34,61.04,7.6,1397.81,22.25,76.27,3.67
Dhaan,48.72,29.67,40.73,5.8,2856.94,33.35,84.72,3.28
Dhaan,87.93,44.8,97.2,7.38,1764.75,24.25,88.24,3.14
Dhaan,66.92,37.26,75.81,5.4,2357.96,31.01,82.2,3.79
Dhaan,84.39,44.42,113.37,7.68,1720.21,24.69,84.1,3.45
Dhaan,93.16,88.61,101.84,8.32,1692.22,23.58,83.53,3.6
Dhaan,101.93,37.95,67.91,5.31,1717.73,31.28,76.93,3.23
Dhaan,59.22,63.1,78.68,5.47,2169.44,34.13,83.92,3.29
Dhaan,140.43,27.04,97.08,4.52,2348.3,22.68,78.27,3.12
Dhaan,170.9,81.49,67.74,5.3,2190.63,34.08,78.14,3.8
Dhaan,120.38,57.46,92.31,8.25,2362.62,33.8,71.79,3.43
Dhaan,64.61,84.37,119.72,6.09,2843.81,24.28,87.64,2.68
Dhaan,41.3,59.76,30.73,8.43,2931.84,34.04,87.53,3.52
Dhaan,109.15,85.7,105.11,6.37,1712.21,34.86,80.87,3.56
Dhaan,66.07,71.56,99.08,6.77,1492.49,27.97,75.15,3.66
Dhaan,165.59,77.89,71.53,4.85,2563.11,24.28,87.12,3.39
Dhaan,76.51,36.49,95.38,8.32,1453.1,26.21,74.96,3.3
Dhaan,131.52,68.49,26.21,4.97,1743.5,31.4,70.23,3.38
Dhaan,83.54,28.22,111.61,5.68,2104.54,33.64,84.07,3.83
Dhaan,61.45,72.34,80.57,6.16,2306.33,24.85,72.67,3.12
Dhaan,74.65,72.83,107.31,4.83,2167.53,30.63,74.37,3.38
Dhaan,118.98,24.32,74.76,6.52,2004.15,31.15,71.56,3.32
Dhaan,68.76,60.82,29.09,6.54,1790.61,28.76,72.32,3.41
Dhaan,103.95,24.04,66.24,7.73,2655.65,27.89,80.26,3.44
Dhaan,46.34,44.12,26.38,8.48,2669.62,31.7,81.57,3.15
Dhaan,44.44,48.62,96.9,7.56,2882.25,22.9,88.68,4.0
Dhaan,161.75,83.47,57.56,7.23,1956.65,34.91,77.65,3.43
Dhaan,88.69,32.49,73.73,6.62,2391.23,29.01,83.07,3.47
Dhaan,134.29,58.11,73.19,7.79,1206.25,22.3,75.97,3.25
Dhaan,171.24,70.75,31.28,7.74,1645.52,26.5,75.51,2.98
Dhaan,54.13,22.35,79.78,7.31,2790.76,22.2,74.12,3.79
Dhaan,72.81,35.21,106.37,4.73,1287.62,31.63,78.05,3.21
Dhaan,123.71,67.08,52.07,5.71,2668.42,31.51,76.38,3.49
Dhaan,82.07,24.27,114.85,8.02,1457.87,30.58,74.42,3.92
Dhaan,171.82,66.99,98.58,5.77,1968.96,28.44,89.45,3.24
Dhaan,145.62,53.15,104.93,5.7,1949.38,23.94,77.53,3.33
Dhaan,118.02,29.39,44.29,5.31,2846.53,29.31,89.36,2.89
Dhaan,52.94,70.72,39.05,5.57,2364.07,33.99,86.94,3.28
Dhaan,141.4,59.12,67.94,7.98,2772.52,24.45,85.23,3.08
Dhaan,171.2,87.35,31.73,8.5,1799.34,34.44,70.31,3.24
Dhaan,117.29,74.29,58.07,6.63,2287.92,24.66,88.3,3.53
Dhaan,109.62,26.9,118.13,6.38,1846.67,25.4,80.26,3.91
Dhaan,70.98,30.21,46.08,8.24,1867.27,27.38,81.25,2.84
Dhaan,86.18,46.59,103.34,6.5,2242.46,27.43,73.05,3.2
Dhaan,129.84,54.34,36.82,7.68,1663.19,32.68,89.33,3.06
Dhaan,168.37,57.95,84.18,4.73,1504.68,31.36,79.77,4.16
Dhaan,97.73,78.98,43.14,7.33,2901.34,30.69,85.29,3.64
Dhaan,126.5,66.67,81.65,6.43,1216.45,28.57,77.46,3.46
Dhaan,78.46,88.42,21.71,7.75,2192.96,22.15,80.59,3.5
Dhaan,54.98,26.74,34.89,5.27,2413.26,32.48,88.2,2.87
Dhaan,96.84,59.55,119.02,5.4,1681.18,27.16,77.46,3.39
Dhaan,160.15,73.17,29.35,6.02,2431.27,33.02,83.07,3.39
Dhaan,100.75,74.91,76.59,7.93,1217.01,24.23,80.0,3.46
Dhaan,69.6,80.77,108.76,6.4,1371.65,28.87,70.85,3.63
Dhaan,44.61,85.01,51.45,8.35,2866.05,33.69,81.27,3.54
Dhaan,95.76,25.39,36.25,5.46,2256.66,31.78,84.25,3.68
Dhaan,59.59,89.19,92.42,6.5,2813.75,26.31,85.11,3.2
Dhaan,157.41,43.84,96.9,8.32,2953.78,22.7,78.74,3.02
Dhaan,108.68,44.91,114.11,6.23,1253.33,25.55,89.85,3.86
Dhaan,126.61,75.86,91.31,4.83,2423.45,30.59,71.71,3.81
Dhaan,54.92,20.36,50.83,5.94,2341.02,31.62,76.33,3.96
Dhaan,102.84,58.83,60.8,4.61,1685.58,23.72,73.75,3.41
Dhaan,80.86,47.15,28.47,8.1,2276.48,26.22,77.7,3.62
Dhaan,63.74,46.65,33.88,5.7,2829.37,34.72,81.44,3.37
Dhaan,50.77,37.62,44.66,7.0,1982.42,27.47,79.68,3.51
Dhaan,82.65,86.42,53.22,6.98,2268.85,24.54,72.14,3.6
Dhaan,176.39,29.53,52.07,8.29,1802.53,32.6,87.19,3.2
Dhaan,175.62,40.4,89.5,6.46,1561.53,26.08,89.29,3.27
Dhaan,55.94,59.47,79.22,6.68,1876.9,32.61,77.86,3.38
Dhaan,104.63,69.59,63.85,5.67,2427.08,29.15,89.06,3.27
Dhaan,128.67,36.94,85.87,7.36,2632.18,27.32,79.99,2.89
Dhaan,107.09,48.06,70.66,8.18,2620.34,22.96,89.81,3.34
Dhaan,115.17,64.67,28.5,7.58,2623.3,26.67,87.91,3.09
Dhaan,46.2,88.85,87.75,6.1,2383.68,26.62,82.94,3.52
Dhaan,111.49,56.32,78.05,6.8,1974.82,22.14,75.17,2.59
Dhaan,122.4,55.03,54.5,4.6,2002.4,27.08,85.45,3.79
Dhaan,59.83,41.83,65.53,5.33,2931.11,23.51,88.81,3.72
Dhaan,137.55,42.32,50.03,7.74,2069.27,28.19,78.76,4.01
Dhaan,177.75,37.07,37.45,5.14,2366.35,30.8,73.29,3.95
Dhaan,96.71,32.91,84.05,6.23,2207.73,34.46,74.64,3.97
Dhaan,138.66,34.4,95.23,7.73,1555.18,29.7,77.78,3.59
Dhaan,66.17,42.82,65.76,5.55,1312.61,23.32,87.44,3.78
Dhaan,122.18,44.35,104.55,6.97,2350.4,29.76,82.23,3.17
Dhaan,126.03,25.93,33.39,4.97,2664.73,31.18,75.95,3.42
Dhaan,59.3,46.86,38.58,7.04,2448.19,28.64,78.36,3.71
Dhaan,117.69,54.27,34.03,5.76,2448.18,30.39,90.0,3.39
Dhaan,154.13,87.47,70.54,6.48,1846.27,22.12,72.73,3.54
Dhaan,108.42,25.79,23.09,7.54,2432.45,27.4,86.8,3.43
Dhaan,143.95,73.61,74.97,4.95,2167.7,24.19,79.15,3.77
Dhaan,91.36,77.58,24.16,7.38,1405.57,32.08,86.47,2.48
Dhaan,81.68,89.95,64.97,5.89,1384.35,32.79,85.03,3.2
Dhaan,148.59,36.59,101.07,6.85,2670.11,27.71,89.88,3.17
Dhaan,68.93,34.49,25.94,5.9,2338.99,24.16,72.78,3.94
Dhaan,138.57,40.25,46.73,7.93,1705.95,29.0,76.47,4.03
Dhaan,168.63,89.47,106.7,5.01,1371.41,34.52,85.71,3.45
Dhaan,155.99,73.3,87.62,6.46,2758.94,25.25,84.23,3.26
Dhaan,163.22,26.52,71.56,5.61,1945.61,27.88,82.67,3.37
Dhaan,85.82,20.17,97.41,7.43,2885.41,26.8,89.01,3.45
Dhaan,114.82,35.25,62.96,5.35,2395.46,26.66,71.27,3.12
Dhaan,120.91,59.63,68.53,5.87,1683.37,32.77,76.76,3.45
Dhaan,57.39,80.04,64.13,4.5,1379.23,32.19,79.19,3.4
Dhaan,58.47,65.5,35.9,8.23,2924.46,24.63,83.77,3.42
Dhaan,63.17,47.74,50.55,7.3,1650.7,26.83,88.08,4.0
Dhaan,40.15,53.38,33.27,5.4,1621.46,30.52,84.07,3.48
Dhaan,99.12,29.25,27.08,6.03,2452.07,32.62,89.76,3.46
Dhaan,163.34,29.6,97.35,7.51,2515.37,23.33,76.27,4.24
Dhaan,131.0,50.81,92.24,7.01,1457.14,28.9,70.17,4.32
Dhaan,160.39,26.07,30.05,7.51,1472.47,27.35,83.73,3.21
Dhaan,78.78,25.9,75.34,6.9,2933.85,26.09,72.8,3.32
Dhaan,158.7,66.09,50.16,6.57,2293.67,32.13,83.81,2.92
Dhaan,173.65,54.64,31.27,6.5,1731.98,22.71,87.96,3.47
Dhaan,178.16,85.37,33.2,7.94,2269.07,28.87,89.55,3.2
Dhaan,147.85,21.17,26.75,5.55,2429.3,31.92,89.09,3.36
Dhaan,110.93,64.0,70.1,6.16,1271.69,22.79,85.79,3.46
Dhaan,83.39,55.79,40.32,7.73,2165.82,30.01,75.55,3.36
Dhaan,156.83,67.67,26.61,7.29,2165.5,27.08,82.69,3.41
Dhaan,103.47,62.62,50.93,7.47,1304.23,23.12,78.69,2.83
Dhaan,138.21,31.47,115.3,6.59,2533.18,23.55,84.16,3.62
Dhaan,77.63,82.05,97.14,4.62,1500.53,23.65,85.62,2.95
Dhaan,139.73,60.37,27.71,6.32,2652.79,25.54,71.28,3.24
Dhaan,54.41,60.17,92.28,5.41,2220.4,26.78,75.1,3.82
Dhaan,74.24,53.02,58.3,5.1,2115.88,22.57,87.26,4.13
Dhaan,98.71,42.53,61.63,7.38,2195.16,33.88,84.81,3.21
Dhaan,110.29,83.14,37.93,7.72,1688.26,23.01,77.46,4.36
Dhaan,158.28,42.91,75.31,4.53,1324.07,28.05,75.65,3.4
Dhaan,127.18,52.47,79.17,6.47,1561.21,29.33,76.08,3.53
Dhaan,40.89,48.7,43.3,5.89,2820.8,31.89,74.9,3.27
Dhaan,40.2,66.01,104.9,7.41,2711.23,33.4,89.02,3.84
Dhaan,179.57,69.82,29.3,8.19,1628.7,28.4,71.2,3.76
Dhaan,92.15,88.22,28.49,4.88,2815.12,28.76,84.02,3.93
Dhaan,174.99,36.57,46.1,5.76,1334.69,29.38,78.7,3.98
Dhaan,84.53,39.04,27.47,5.31,2641.47,31.11,84.71,3.59
Dhaan,96.91,57.51,116.46,5.33,1479.74,24.14,79.32,3.04
Dhaan,62.07,68.02,102.64,7.29,1754.95,25.45,72.4,4.14
Dhaan,89.8,55.94,87.72,5.54,1790.03,23.19,74.96,3.67
Dhaan,103.31,72.37,44.99,6.35,2983.22,22.4,78.09,3.56
Dhaan,58.3,77.66,57.22,7.02,1221.52,32.79,89.65,3.32
Dhaan,153.78,21.53,26.45,8.11,2360.43,29.57,75.18,3.33
